Name,Genre,Platform,Global_Sales,Cluster
Enemy Territory: Quake Wars,Shooter,PS3,0.35,2
Tom Clancy's Rainbow Six: Lockdown,Shooter,PS2,0.35,2
From TV Animation One Piece: Tobidase Kaizokudan!,Role-Playing,PS,0.35,2
The Tale of Despereaux,Platform,PS2,0.35,2
Aggressive Inline,Sports,PS2,0.35,2
Karaoke Revolution,Misc,PS2,0.35,2
NFL Street,Sports,GC,0.35,2
Hello Kitty Daily,Misc,DS,0.35,2
Metal Arms: Glitch in the System,Shooter,PS2,0.35,2
Farming Simulator 2015,Simulation,PS4,0.35,2
Jikkyou Powerful Pro Yakyuu 7,Sports,PS2,0.35,2
Rally Cross 2,Racing,PS,0.35,2
EverGrace,Role-Playing,PS2,0.35,2
Def Jam Icon,Action,X360,0.35,2
Lunar 2: Eternal Blue Complete,Role-Playing,PS,0.35,2
Street Fighter Alpha: Warriors' Dreams,Fighting,SAT,0.35,2
Rugrats: Royal Ransom,Platform,PS2,0.35,2
Disney Fairies: Tinker Bell and the Great Fairy Rescue,Adventure,DS,0.35,2
MLB 06: The Show,Sports,PSP,0.35,2
F1 Race Stars,Racing,PS3,0.35,2
Over the Hedge,Platform,GC,0.35,2
Naruto Shippuden: Ultimate Ninja Impact,Fighting,PSP,0.35,2
Just Dance 2016,Misc,PS4,0.35,2
Charlie and the Chocolate Factory,Adventure,PS2,0.35,2
Pirates of the Caribbean: At World's End,Action,DS,0.35,2
UEFA Euro 2008 Austria-Switzerland,Sports,X360,0.35,2
Kurushi Final: Mental Blocks,Puzzle,PS,0.34,2
Style Lab: Jewelry Design,Simulation,DS,0.34,2
Risk / Battleship / Clue,Misc,GBA,0.34,2
SD Gundam G Generation World,Strategy,PSP,0.34,2
LEGO Pirates of the Caribbean: The Video Game,Action,PSP,0.34,2
The Wild Thornberrys Movie,Platform,GBA,0.34,2
High School Musical 3: Senior Year DANCE!,Misc,PS2,0.34,2
Dynasty Warriors 5 Empires,Action,PS2,0.34,2
SoulCalibur,Fighting,DC,0.34,2
WipEout 3,Racing,PS,0.34,2
Etrian Odyssey,Role-Playing,DS,0.34,2
Conan,Action,PS3,0.34,2
Classic NES Series: Ice Climber,Platform,GBA,0.34,2
Skylanders: Trap Team,Action,XOne,0.34,2
Avatar: The Last Airbender - The Burning Earth,Action,DS,0.34,2
F.E.A.R.,Shooter,X360,0.34,2
Tenchu Z,Action,X360,0.34,2
Freeway,Action,2600,0.34,2
Driver 2 Advance,Action,GBA,0.34,2
Monster Rancher 4,Simulation,PS2,0.34,2
Iron Man 2,Action,DS,0.34,2
Chicken Riot,Action,Wii,0.34,2
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Adventure,PS2,0.34,2
Iron Storm,Shooter,SAT,0.34,2
Harry Potter and the Deathly Hallows - Part 2,Action,X360,0.34,2
MotorStorm: Arctic Edge,Racing,PS2,0.34,2
The Fairly Odd Parents: Shadow Showdown,Platform,GBA,0.34,2
Radiant Historia,Role-Playing,DS,0.34,2
Marvel Super Heroes,Fighting,PS,0.34,2
Super Bust-A-Move,Puzzle,PS2,0.34,2
Hitman: Contracts,Shooter,XB,0.34,2
Thunderstrike: Operation Phoenix,Simulation,PS2,0.34,2
Alien's Return,Action,2600,0.34,2
Frostbite,Action,2600,0.34,2
LEGO Marvel's Avengers,Action,X360,0.34,2
Kameo: Elements of Power,Action,X360,0.34,2
Power Rangers Samurai,Action,Wii,0.34,2
WWE Day of Reckoning 2,Fighting,GC,0.34,2
Dynasty Warriors 6 Empires,Action,PS3,0.34,2
The Urbz: Sims in the City,Simulation,XB,0.34,2
Fantastic Voyage,Action,2600,0.34,2
The Adventures of Tintin: The Game,Action,Wii,0.34,2
Bee Movie Game,Action,Wii,0.34,2
Silent Hill HD Collection,Action,PS3,0.34,2
Night Warriors: Darkstalkers' Revenge,Fighting,SAT,0.34,2
Off Road Challenge,Racing,N64,0.34,2
Bank Heist,Action,2600,0.34,2
Harry Potter and the Half-Blood Prince,Action,PS3,0.34,2
Tom Clancy's Ghost Recon: Shadow Wars,Strategy,3DS,0.34,2
Backstreet Billiards,Misc,PS,0.34,2
MX vs. ATV Untamed,Racing,Wii,0.34,2
Carnival,Shooter,2600,0.34,2
Football Manager Handheld 2008,Sports,PSP,0.34,2
Leisure Suit Larry: Magna Cum Laude,Adventure,PS2,0.34,2
Harry Potter and the Deathly Hallows - Part 2,Action,PS3,0.34,2
MVP 06 NCAA Baseball,Sports,XB,0.34,2
Momotarou Dentetsu DS: Tokyo & Japan,Misc,DS,0.34,2
Point Blank,Shooter,PS,0.34,2
Bookworm,Puzzle,DS,0.34,2
Smart Girl's Party Game,Misc,DS,0.34,2
Rayman Legends,Platform,XOne,0.34,2
Puzzle Quest: Challenge of the Warlords,Puzzle,DS,0.34,2
Star Ocean: Second Evolution,Role-Playing,PSP,0.34,2
My Baby Boy,Simulation,DS,0.34,2
Tiny Tank,Action,PS,0.34,2
Jonah Lomu Rugby Challenge,Sports,X360,0.34,2
Spy Hunter,Racing,XB,0.34,2
Angry Birds Star Wars,Strategy,3DS,0.34,2
Imagine: Movie Star,Simulation,DS,0.34,2
NHL 09,Sports,PS3,0.34,2
Zoo Tycoon (2013),Simulation,XOne,0.34,2
Herbie: Fully Loaded,Racing,GBA,0.34,2
The Sims 3: Town Life Stuff,Simulation,PC,0.34,2
Teenage Mutant Ninja Turtles,Action,GC,0.34,2
Pony Friends 2,Simulation,DS,0.34,2
Disney Sing It: Pop Hits,Misc,PS2,0.34,2
Buzz! The Ultimate Music Quiz,Misc,PS3,0.34,2
Persona 5,Role-Playing,PS4,0.34,2
The Eye of Judgment,Misc,PS3,0.34,2
Pirates of the Caribbean: At World's End,Action,X360,0.34,2
Modnation Racers: Road Trip,Racing,PSV,0.34,2
Dynasty Warriors: Gundam 2,Action,PS2,0.34,2
Power Rangers Samurai,Action,DS,0.34,2
Fade to Black,Action,PS,0.34,2
MXRider,Racing,PS2,0.34,2
Avatar: The Last Airbender,Adventure,DS,0.34,2
Battlefield: Hardline,Shooter,X360,0.34,2
Delta Force: Black Hawk Down,Shooter,XB,0.34,2
Night at the Museum: Battle of the Smithsonian,Action,DS,0.34,2
World Championship Poker 2: Featuring Howard Lederer,Misc,PS2,0.34,2
Sengoku Musou 3 Z,Action,PS3,0.33,2
Operation Flashpoint: Red River,Shooter,PS3,0.33,2
Ninja Blade,Action,X360,0.33,2
Tom Clancy's Ghost Recon Advanced Warfighter,Shooter,XB,0.33,2
Transformers: Revenge of the Fallen (DS Versions),Action,DS,0.33,2
Fracture,Shooter,X360,0.33,2
Tokyo Highway Battle,Racing,PS,0.33,2
Pandora's Tower,Role-Playing,Wii,0.33,2
Binary Domain,Action,PS3,0.33,2
The King of Fighters XIII,Fighting,X360,0.33,2
Beyond Good & Evil,Adventure,PS2,0.33,2
Banjo-Kazooie: Grunty's Revenge,Platform,GBA,0.33,2
Bomberman World,Puzzle,PS,0.33,2
The X-Factor,Misc,Wii,0.33,2
Digimon World: Dawn / Dusk,Role-Playing,DS,0.33,2
Street Fighter Alpha 3 MAX,Fighting,PSP,0.33,2
Untold Legends: The Warriors Code,Role-Playing,PSP,0.33,2
Virtua Tennis 2009,Sports,X360,0.33,2
Deathtrap Dungeon,Action,PS,0.33,2
Tales of the World: Radiant Mythology 2,Role-Playing,PSP,0.33,2
Wipeout 2,Misc,Wii,0.33,2
Iron Man 2,Action,Wii,0.33,2
Ape Escape Academy,Misc,PSP,0.33,2
The Darkness II,Shooter,PS3,0.33,2
SingStar Take That,Misc,PS3,0.33,2
Marvel: Ultimate Alliance 2,Role-Playing,Wii,0.33,2
Ultimate Marvel vs. Capcom 3,Fighting,PSV,0.33,2
WWE Wrestlemania XIX,Fighting,GC,0.33,2
Planet Puzzle League,Puzzle,DS,0.33,2
The Sims 2,Simulation,GC,0.33,2
Hulk,Action,XB,0.33,2
Naruto: Rise of a Ninja,Action,X360,0.33,2
Chicken Blaster,Shooter,Wii,0.33,2
Family Party: 90 Great Games Party Pack,Misc,Wii,0.33,2
Klonoa 2: Lunatea's Veil,Platform,PS2,0.33,2
Deus Ex: Invisible War,Shooter,XB,0.33,2
Resonance of Fate,Role-Playing,X360,0.33,2
Hell's Kitchen: The Game,Simulation,Wii,0.33,2
Disney's Treasure Planet,Action,PS2,0.33,2
NASCAR Thunder 2002,Racing,XB,0.33,2
Jeanne d'Arc,Role-Playing,PSP,0.33,2
NCAA Basketball 10,Sports,PS3,0.33,2
BeatMania Append GottaMix,Simulation,PS,0.33,2
Dead or Alive 5,Fighting,PS4,0.33,2
Tak 2: The Staff of Dreams,Platform,GC,0.33,2
Rugby World Cup 2011,Sports,PS3,0.33,2
Medal of Honor: Warfighter,Action,PC,0.33,2
Kelly Slater's Pro Surfer,Sports,PS2,0.33,2
Shrek SuperSlam,Action,GBA,0.33,2
Sonic Boom: Rise of Lyric,Action,WiiU,0.33,2
Legends of Wrestling II,Fighting,PS2,0.33,2
World Stadium 3,Sports,PS,0.33,2
Little Deviants,Platform,PSV,0.33,2
Silent Hill: Downpour,Action,X360,0.33,2
Extra Bases,Sports,GB,0.33,2
Super Power League 2,Sports,SNES,0.33,2
Night at the Museum: Battle of the Smithsonian,Action,Wii,0.33,2
Capcom Classics Collection Reloaded,Misc,PSP,0.33,2
Madden NFL 09,Sports,DS,0.33,2
MLB 09: The Show,Sports,PS2,0.33,2
Deus Ex: Mankind Divided,Role-Playing,PS4,0.33,2
Cool Boarders 2001,Sports,PS2,0.33,2
Classic NES Series: Castlevania,Platform,GBA,0.33,2
Dragon Ball Z: Battle of Z,Fighting,PS3,0.33,2
Scooby-Doo! First Frights,Action,PS2,0.33,2
Fight Night Round 3,Fighting,XB,0.33,2
GT Advance Championship Racing,Racing,GBA,0.33,2
Way of the Samurai 2,Action,PS2,0.33,2
FIFA Street 3,Sports,PS3,0.33,2
BattleTanx,Action,N64,0.33,2
Hatsune Miku: Project Diva Extend,Misc,PSP,0.33,2
Battlestations: Pacific,Strategy,X360,0.33,2
Pitfall 3D: Beyond the Jungle,Platform,PS,0.33,2
Disgaea 2: Cursed Memories,Role-Playing,PS2,0.33,2
Cabela's Dangerous Hunts 2011,Sports,PS3,0.33,2
DECA Sports Freedom,Sports,X360,0.33,2
Clock Tower 3,Adventure,PS2,0.33,2
Battle Dodge Ball,Sports,SNES,0.33,2
Goosebumps HorrorLand,Adventure,DS,0.33,2
Phineas and Ferb: Across the 2nd Dimension,Action,PS3,0.33,2
Call Of Duty 2: Big Red One,Shooter,GC,0.33,2
Elebits,Action,Wii,0.33,2
"Warhammer 40,000: Squad Command",Strategy,PSP,0.33,2
F1 2013,Racing,X360,0.33,2
Disgaea: Hour of Darkness,Role-Playing,PS2,0.33,2
NeoGeo Battle Coliseum,Fighting,PS2,0.33,2
SSX Blur,Sports,Wii,0.33,2
DiRT 2,Racing,PSP,0.33,2
Vin Diesel: Wheelman,Racing,PS3,0.33,2
SpongeBob SquarePants: Creature from the Krusty Krab,Platform,GC,0.33,2
My Baby: First Steps,Simulation,DS,0.33,2
MLB 08: The Show,Sports,PSP,0.33,2
The Black Eyed Peas Experience,Misc,X360,0.33,2
Parodius,Shooter,PS,0.33,2
Spy Kids 3-D: Game Over,Platform,GBA,0.33,2
Sakura Wars 3: Paris wa Moeteiru ka,Adventure,DC,0.33,2
1001 Touch Games,Action,DS,0.33,2
NCAA GameBreaker 2001,Sports,PS,0.33,2
Power Rangers: Ninja Storm,Misc,GBA,0.33,2
Angry Birds Star Wars,Strategy,PS3,0.33,2
Naruto: Gekito Ninja Taisen! 4,Fighting,GC,0.33,2
Kidou Senshi Gundam F91: Formula Senki 0122,Strategy,SNES,0.33,2
Despicable Me: The Game,Platform,Wii,0.33,2
Golden Axe: Beast Rider,Action,X360,0.33,2
MySims SkyHeroes,Action,DS,0.33,2
MVP Baseball 2005,Sports,GC,0.33,2
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,Misc,DS,0.33,2
"Carnival Games: Monkey See, Monkey Do!",Misc,X360,0.33,2
Eternal Sonata,Role-Playing,X360,0.33,2
DX Game of Life 2,Misc,PS,0.33,2
EA Playground,Sports,DS,0.33,2
NBA Live 96,Sports,PS,0.33,2
Clash of the Titans,Action,PS3,0.33,2
Folklore,Role-Playing,PS3,0.33,2
Dragon Ball Z: Extreme Butoden,Fighting,3DS,0.33,2
Samurai Warriors 2: Xtreme Legends (JP sales),Action,PS2,0.33,2
Sniper Elite 3,Shooter,XOne,0.33,2
Teen Titans,Action,GC,0.33,2
Dead Rising 2: Off the Record,Action,PS3,0.33,2
Frogger II: Threeedeep!,Action,2600,0.33,2
Etrian Odyssey III: The Drowned City,Role-Playing,DS,0.33,2
LEGO The Lord of the Rings,Action,PSV,0.33,2
NBA Live 06,Sports,GC,0.33,2
Karaoke Revolution Presents American Idol Encore 2,Misc,Wii,0.33,2
Fireball,Action,2600,0.33,2
Batman: Arkham Origins,Action,WiiU,0.33,2
Discovery Kids: Puppy Playtime,Simulation,DS,0.33,2
Dr. Mario / Puzzle League,Puzzle,GBA,0.33,2
Bleach: Shattered Blade,Fighting,Wii,0.33,2
Shin Nippon Pro Wrestling: Toukon Retsuden,Fighting,PS,0.33,2
Major League Baseball 2K6,Sports,XB,0.33,2
Pinball Hall of Fame: The Gottlieb Collection,Misc,PS2,0.33,2
God of War Collection,Action,PSV,0.33,2
Dead Space 2,Shooter,PC,0.33,2
Def Jam Rapstar,Misc,PS3,0.33,2
Overlord II,Action,X360,0.32,2
NBA 2K10,Sports,PSP,0.32,2
J Stars Victory Vs.,Fighting,PS3,0.32,2
The Witcher: Enhanced Edition,Role-Playing,PC,0.32,2
Teenage Mutant Ninja Turtles 2: Battle Nexus,Action,GBA,0.32,2
Nicktoons: Movin',Action,PS2,0.32,2
One Piece: Romance Dawn - Bouken no Yoake,Fighting,PSP,0.32,2
Batman: Arkham Origins,Action,PC,0.32,2
SWAT: Global Strike Team,Shooter,PS2,0.32,2
Championship Bass,Sports,PS,0.32,2
Resident Evil: Revelations 2,Action,PS3,0.32,2
Test Drive Unlimited,Racing,X360,0.32,2
Golden Axe: Beast Rider,Action,PS3,0.32,2
Madden NFL 13,Sports,PSV,0.32,2
Bratz: Girlz Really Rock,Action,DS,0.32,2
NCAA Basketball 10,Sports,X360,0.32,2
Dead or Alive 5,Fighting,X360,0.32,2
Shin Megami Tensei: Devil Survivor 2,Role-Playing,DS,0.32,2
NHL Breakaway 98,Sports,N64,0.32,2
Momotarou Dentetsu 20-Shuunen,Misc,DS,0.32,2
LEGO Marvel's Avengers,Action,XOne,0.32,2
Tekken 6,Fighting,PSP,0.32,2
Kinetica,Racing,PS2,0.32,2
Beautiful Katamari,Puzzle,X360,0.32,2
Bust-A-Move '99,Puzzle,PS,0.32,2
NBA Street V3,Sports,XB,0.32,2
Overlord II,Action,PS3,0.32,2
Dragon Quest Monsters 1·2,Role-Playing,PS,0.32,2
Army of Two: The 40th Day,Shooter,PSP,0.32,2
Ben 10 Ultimate Alien: Cosmic Destruction,Platform,DS,0.32,2
Bigfoot: Collision Course,Racing,Wii,0.32,2
Batman: Arkham Asylum,Action,PC,0.32,2
Crash of the Titans,Action,X360,0.32,2
The Legend of Spyro: Dawn of the Dragon,Platform,X360,0.32,2
Prey,Shooter,X360,0.32,2
Birthday Party Bash,Misc,Wii,0.32,2
OverBlood,Action,PS,0.32,2
ESPN X-Games Pro Boarder,Sports,PS,0.32,2
Murdered: Soul Suspect,Action,PS4,0.32,2
Tony Hawk's American Wasteland,Sports,X360,0.32,2
Harvest Moon: Back to Nature,Simulation,PS,0.32,2
Sniper Elite 3,Shooter,X360,0.32,2
Naruto: Ultimate Ninja (JP sales),Fighting,PS2,0.32,2
The Settlers 7: Paths to a Kingdom,Strategy,PC,0.32,2
"Go, Diego, Go!: Great Dinosaur Rescue",Action,PS2,0.32,2
TrackMania Turbo,Action,PS4,0.32,2
The Biggest Loser,Sports,DS,0.32,2
Minute to Win It,Misc,X360,0.32,2
Darkwatch,Shooter,PS2,0.32,2
Dance Dance Revolution Universe,Simulation,X360,0.32,2
SimAnimals,Simulation,Wii,0.32,2
Prince of Persia: The Sands of Time,Action,GC,0.32,2
Sky Odyssey,Simulation,PS2,0.32,2
Nagano Winter Olympics 98,Sports,N64,0.32,2
Rayman 2: The Great Escape,Platform,PS,0.32,2
Kirby's Block Ball,Puzzle,GB,0.32,2
DiRT Rally,Racing,PS4,0.32,2
Fortress,Action,GBA,0.32,2
FIFA 2001 Major League Soccer,Sports,PS,0.32,2
Peppa Pig: Theme Park Fun,Misc,DS,0.32,2
Rally Cross,Racing,PS,0.32,2
My Horse & Me,Sports,Wii,0.32,2
Frogger's Adventures: The Rescue,Platform,PS2,0.32,2
Extreme Pinball,Misc,PS,0.32,2
Shaun White Snowboarding,Sports,PSP,0.32,2
Karaoke Revolution Volume 3,Misc,PS2,0.32,2
Gold's Gym: Cardio Workout (Others sales),Sports,Wii,0.32,2
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,Simulation,PS2,0.32,2
Street Fighter Alpha 2,Fighting,SAT,0.32,2
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,Sports,PS,0.32,2
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,Misc,GBA,0.32,2
Ultimate Fighting Championship: Throwdown,Fighting,PS2,0.32,2
Marvel Nemesis: Rise of the Imperfects,Fighting,PSP,0.32,2
SpongeBob SquarePants: Double Pack,Platform,GBA,0.32,2
Tetris 2 + Bombliss,Puzzle,NES,0.32,2
Harry Potter and the Half-Blood Prince,Action,X360,0.32,2
Disney's Extreme Skate Adventure,Sports,PS2,0.32,2
Rock Band Country Track Pack,Misc,PS2,0.32,2
7 Wonders II,Puzzle,DS,0.32,2
"Ed, Edd n Eddy: Jawbreakers!",Adventure,GBA,0.32,2
Frankenstein's Monster,Action,2600,0.32,2
Riven: The Sequel to Myst,Adventure,PS,0.32,2
Derby Stallion DS,Sports,DS,0.32,2
Mirror's Edge Catalyst,Platform,PS4,0.32,2
Manhunt 2,Action,PSP,0.32,2
NBA 2K3,Sports,XB,0.32,2
Monster Lab,Role-Playing,Wii,0.32,2
Dragon Quest Monsters: Battle Road Victory,Strategy,Wii,0.32,2
Shin Momotarou Densetsu,Role-Playing,SNES,0.32,2
From TV Animation One Piece: Grand Battle! 3,Fighting,PS2,0.32,2
Sega Smash Pack,Misc,GBA,0.32,2
The Conveni: Ano Machi wo Dokusen Seyo,Simulation,PS,0.32,2
Shin Super Robot Taisen Special Disk,Strategy,PS,0.32,2
Live A Live,Role-Playing,SNES,0.32,2
NFL Fever 2004,Sports,XB,0.32,2
Madden NFL 2002,Sports,GBA,0.32,2
UEFA Euro 2008 Austria-Switzerland,Sports,PS2,0.32,2
Clive Barker's Jericho,Shooter,X360,0.32,2
Littlest Pet Shop: City Friends,Simulation,DS,0.32,2
Kingdom Under Fire: The Crusaders,Strategy,XB,0.32,2
4x4 Evolution,Racing,PS2,0.32,2
Cabela's Dangerous Hunts 2011,Sports,X360,0.32,2
Momotarou Dentetsu Happy,Misc,SNES,0.32,2
Power Rangers: Time Force,Action,PS,0.32,2
Romance of the Three Kingdoms VII,Strategy,PS2,0.32,2
Shrek the Third,Action,PSP,0.32,2
Catherine,Adventure,X360,0.32,2
BlazBlue: Continuum Shift,Fighting,X360,0.32,2
"Monsters, Inc.",Adventure,PS2,0.32,2
DJ Hero,Misc,PS2,0.32,2
WipEout Pulse,Racing,PSP,0.32,2
Quiz Magic Academy DS,Misc,DS,0.32,2
Just Dance 2016,Misc,XOne,0.32,2
Resident Evil Archives: Resident Evil,Action,Wii,0.32,2
Dynasty Warriors 4 Empires,Action,PS2,0.32,2
Shenmue II,Adventure,XB,0.32,2
Heart of Darkness,Platform,PS,0.32,2
LEGO Marvel's Avengers,Action,PS3,0.32,2
Virtua Striker 2,Sports,DC,0.32,2
Fable III,Role-Playing,PC,0.32,2
Dragon Ball: XenoVerse,Fighting,XOne,0.31,2
Might & Magic Heroes VI,Role-Playing,PC,0.31,2
Fuel,Racing,X360,0.31,2
ExerBeat,Sports,Wii,0.31,2
WarCraft II: The Dark Saga,Strategy,PS,0.31,2
MonHun Nikki: Poka Poka Ailu Mura G,Role-Playing,PSP,0.31,2
Crash Nitro Kart,Racing,XB,0.31,2
Sesame Street: Cookie's Counting Carnival,Misc,Wii,0.31,2
NBA ShootOut,Sports,PS,0.31,2
Fishing Master,Misc,Wii,0.31,2
Phineas and Ferb Ride Again,Action,DS,0.31,2
Jikkyou Powerful Pro Yakyuu 14,Sports,PS2,0.31,2
Contra 4,Shooter,DS,0.31,2
Madden NFL 2004,Sports,GBA,0.31,2
Sniper Elite 3,Shooter,PS3,0.31,2
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,Platform,SNES,0.31,2
Bust-A-Move Universe,Puzzle,3DS,0.31,2
Mario Golf,Action,GB,0.31,2
Jikkyou Powerful Pro Yakyuu Portable 3,Sports,PSP,0.31,2
Sesame Street: Elmo's Letter Adventure,Misc,PS,0.31,2
The Incredible Hulk,Action,Wii,0.31,2
Namco Museum: Virtual Arcade,Misc,X360,0.31,2
NBA Inside Drive 2003,Sports,XB,0.31,2
FIFA Street,Sports,PS2,0.31,2
Barbie as The Island Princess,Adventure,DS,0.31,2
Star Wars Episode III: Revenge of the Sith,Action,DS,0.31,2
Hatsune Miku: Project Mirai DX,Misc,3DS,0.31,2
Dragon Ball Heroes: Ultimate Mission 2,Strategy,3DS,0.31,2
Shrek: Forever After,Platform,DS,0.31,2
MLB 07: The Show,Sports,PS3,0.31,2
Homefront: The Revolution,Shooter,PS4,0.31,2
Jampack: Summer 2003 (RP-M),Misc,PS2,0.31,2
Alone in the Dark: One-Eyed Jack's Revenge,Adventure,PS,0.31,2
Yu-Gi-Oh! The Dawn of Destiny,Strategy,XB,0.31,2
The Matrix: Path of Neo,Action,XB,0.31,2
Mortal Kombat: Shaolin Monks,Action,XB,0.31,2
Happy Feet,Action,DS,0.31,2
Einhänder,Shooter,PS,0.31,2
Tiny Toon Adventures: The Great Beanstalk,Misc,PS,0.31,2
Foto Frenzy: Spot The Diffrence,Puzzle,DS,0.31,2
Metro: Last Light,Action,XOne,0.31,2
Dark Void,Action,X360,0.31,2
Pro Evolution Soccer 2013,Sports,X360,0.31,2
Armored Core: Silent Line,Simulation,PS2,0.31,2
SD Gundam G Generation Wars,Strategy,PS2,0.31,2
Dr. Seuss: How the Grinch Stole Christmas,Action,DS,0.31,2
Panzer Dragoon II Zwei,Shooter,SAT,0.31,2
KISS Pinball,Action,PS,0.31,2
Brothers In Arms: Earned in Blood,Shooter,XB,0.31,2
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,Action,GBA,0.31,2
Super Robot Taisen Complete Box,Strategy,PS,0.31,2
Mega Man Maverick Hunter X,Platform,PSP,0.31,2
Cabela's Outdoor Adventures (2009),Sports,Wii,0.31,2
Lord of Arcana,Role-Playing,PSP,0.31,2
Jikkyou Powerful Pro Yakyuu 4,Sports,N64,0.31,2
Goemon's Great Adventure,Platform,N64,0.31,2
Hot Wheels Turbo Racing,Racing,N64,0.31,2
Vigilante 8,Racing,N64,0.31,2
Bass Hunter 64,Sports,N64,0.31,2
Doubutsu no Mori,Simulation,N64,0.31,2
Football Manager 2016,Simulation,PC,0.31,2
Naruto: Ninja Destiny (US sales),Fighting,DS,0.31,2
TRON: Evolution,Action,X360,0.31,2
Disney Infinity 3.0,Action,XOne,0.31,2
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,Action,3DS,0.31,2
Calvin Tucker's Redneck Jamboree,Misc,Wii,0.31,2
MySims SkyHeroes,Action,Wii,0.31,2
J-League Winning Eleven 2007: Club Championship,Sports,PS2,0.31,2
Shrek's Carnival Craze Party Games,Misc,Wii,0.31,2
Harvest Moon: Magical Melody,Simulation,Wii,0.31,2
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,Strategy,DS,0.31,2
Mega Man Battle Network 2,Action,GBA,0.31,2
Little King's Story,Strategy,Wii,0.31,2
Mountain King,Action,2600,0.31,2
Jampack Volume 12,Misc,PS2,0.31,2
Madagascar,Platform,DS,0.31,2
Tiger Woods PGA Tour 06,Sports,X360,0.31,2
Shaun White Snowboarding,Sports,PS2,0.31,2
Shin Megami Tensei: Devil Summoner - Soul Hackers,Role-Playing,SAT,0.31,2
Major League Baseball 2K8,Sports,PS3,0.31,2
Rapala Pro Bass Fishing 2010,Sports,Wii,0.31,2
Lord of the Rings: Battle for Middle-Earth,Strategy,X360,0.31,2
Demolition Racer,Racing,PS,0.31,2
Midway Arcade Treasures 2,Misc,XB,0.31,2
Final Fantasy IV,Simulation,PS,0.31,2
Math Play,Puzzle,DS,0.31,2
Kingdoms of Amalur: Reckoning,Role-Playing,PC,0.31,2
NASCAR Thunder 2003,Racing,GC,0.31,2
SD Gundam G Generation: Overworld,Strategy,PSP,0.31,2
Sorcery,Action,PS3,0.31,2
TouchMaster: Connect,Puzzle,DS,0.31,2
NHL FaceOff 2000,Sports,PS,0.31,2
Star Wars Racer Revenge,Racing,PS2,0.31,2
NBA Live 08,Sports,PSP,0.31,2
The King of Fighters XIII,Fighting,PS3,0.31,2
NCAA Final Four 2002,Sports,PS2,0.31,2
South Park: Chef's Luv Shack,Misc,PS,0.31,2
Music Maker,Misc,PS2,0.31,2
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,Platform,SNES,0.31,2
Astroblast,Action,2600,0.31,2
Blade II,Action,PS2,0.31,2
40 Winks,Platform,PS,0.31,2
The Legend of Heroes: Trails of Cold Steel,Role-Playing,PSV,0.31,2
Fate/Extra,Role-Playing,PSP,0.31,2
Shaun White Snowboarding: World Stage,Sports,Wii,0.31,2
My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,Misc,DS,0.31,2
Skylanders SWAP Force,Platform,XOne,0.31,2
A Collection of Classic Games from the Intellivision,Misc,PS,0.31,2
Monsters vs. Aliens,Action,PS3,0.31,2
Silent Hill: Shattered Memories,Action,PSP,0.31,2
Bruce Lee: Quest of the Dragon,Fighting,XB,0.31,2
Spin Jam,Puzzle,PS,0.31,2
KuruKuru Kururin,Puzzle,GBA,0.31,2
Disney's The Emperor's New Groove,Platform,PS,0.31,2
Disney's Stitch: Experiment 626,Action,PS2,0.31,2
RPG Tsukuru 2,Role-Playing,SNES,0.31,2
Yuu Yuu Hakusho 2: Kakutou no Sho,Fighting,SNES,0.31,2
Orphen: Scion of Sorcery,Role-Playing,PS2,0.31,2
LEGO Legends of Chima: Laval's Journey,Adventure,3DS,0.31,2
Imagine: Family Doctor,Simulation,DS,0.3,2
Magna Carta 2,Role-Playing,X360,0.3,2
Ultimate Spider-Man,Action,GBA,0.3,2
Nicktoons: Battle for Volcano Island,Action,DS,0.3,2
Midtown Madness 3,Racing,XB,0.3,2
Shrek Swamp Kart Speedway,Racing,GBA,0.3,2
One Piece: Unlimited World Red,Action,PS3,0.3,2
Alien: Isolation,Shooter,X360,0.3,2
Gameboy Gallery,Misc,GB,0.3,2
Virtua Cop 2,Shooter,SAT,0.3,2
Ehrgeiz,Fighting,PS,0.3,2
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,Misc,PSP,0.3,2
Karaoke Revolution Glee: Volume 3,Misc,Wii,0.3,2
Spyro: Attack of the Rhynocs,Platform,GBA,0.3,2
"Army Men World War: Land, Sea, Air",Action,PS,0.3,2
Dai-2-Ji Super Robot Taisen OG,Strategy,PS3,0.3,2
Stranglehold,Shooter,PS3,0.3,2
